name,owner,stargazerCount,created_at,current_date,time_since_created_at_in_seconds,releases_count,url
JavaGuide,Snailclimb,146019,2018-05-07T13:27:00Z,2024-09-21 22:01:17.105717+00:00,201256457.105717,0,https://github.com/Snailclimb/JavaGuide
GitHub-Chinese-Top-Charts,GrowingGit,98960,2019-09-05T03:01:56Z,2024-09-21 22:01:17.105717+00:00,159303561.105717,0,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts
hello-algo,krahets,95710,2022-11-04T11:08:34Z,2024-09-21 22:01:17.105717+00:00,59395963.105717,8,https://github.com/krahets/hello-algo
java-design-patterns,iluwatar,89419,2014-08-09T16:45:18Z,2024-09-21 22:01:17.105717+00:00,319353359.105717,0,https://github.com/iluwatar/java-design-patterns
mall,macrozheng,77370,2018-04-04T01:11:44Z,2024-09-21 22:01:17.105717+00:00,204151773.105717,3,https://github.com/macrozheng/mall
advanced-java,doocs,75737,2018-10-06T11:38:30Z,2024-09-21 22:01:17.105717+00:00,188130167.105717,1,https://github.com/doocs/advanced-java
LeetCodeAnimation,MisterBooo,75328,2018-12-06T08:01:22Z,2024-09-21 22:01:17.105717+00:00,182872795.105717,0,https://github.com/MisterBooo/LeetCodeAnimation
spring-boot,spring-projects,74567,2012-10-19T15:02:57Z,2024-09-21 22:01:17.105717+00:00,376297100.105717,286,https://github.com/spring-projects/spring-boot
elasticsearch,elastic,69602,2010-02-08T13:20:56Z,2024-09-21 22:01:17.105717+00:00,461320821.105717,155,https://github.com/elastic/elasticsearch
interviews,kdn251,63394,2017-02-14T18:19:25Z,2024-09-21 22:01:17.105717+00:00,239859712.105717,0,https://github.com/kdn251/interviews
Java,TheAlgorithms,58713,2016-07-16T10:21:02Z,2024-09-21 22:01:17.105717+00:00,258291615.105717,0,https://github.com/TheAlgorithms/Java
spring-framework,spring-projects,56249,2010-12-08T04:04:45Z,2024-09-21 22:01:17.105717+00:00,435174992.105717,312,https://github.com/spring-projects/spring-framework
ghidra,NationalSecurityAgency,50677,2019-03-01T03:27:48Z,2024-09-21 22:01:17.105717+00:00,175545209.105717,38,https://github.com/NationalSecurityAgency/ghidra
guava,google,50032,2014-05-29T16:23:17Z,2024-09-21 22:01:17.105717+00:00,325575480.105717,46,https://github.com/google/guava
RxJava,ReactiveX,47844,2013-01-08T20:11:48Z,2024-09-21 22:01:17.105717+00:00,369280169.105717,234,https://github.com/ReactiveX/RxJava
Stirling-PDF,Stirling-Tools,42431,2023-01-27T18:22:42Z,2024-09-21 22:01:17.105717+00:00,52112315.105717,85,https://github.com/Stirling-Tools/Stirling-PDF
jadx,skylot,41045,2013-03-18T17:08:21Z,2024-09-21 22:01:17.105717+00:00,363329576.105717,29,https://github.com/skylot/jadx
dubbo,apache,40389,2012-06-19T07:56:02Z,2024-09-21 22:01:17.105717+00:00,386863515.105717,104,https://github.com/apache/dubbo
JeecgBoot,jeecgboot,40106,2018-11-26T10:40:00Z,2024-09-21 22:01:17.105717+00:00,183727277.105717,48,https://github.com/jeecgboot/JeecgBoot
dbeaver,dbeaver,39351,2015-10-21T08:26:28Z,2024-09-21 22:01:17.105717+00:00,281540089.105717,207,https://github.com/dbeaver/dbeaver
MPAndroidChart,PhilJay,37546,2014-04-25T14:29:47Z,2024-09-21 22:01:17.105717+00:00,328519890.105717,44,https://github.com/PhilJay/MPAndroidChart
tutorials,eugenp,36513,2013-04-29T18:26:36Z,2024-09-21 22:01:17.105717+00:00,359696081.105717,0,https://github.com/eugenp/tutorials
arthas,alibaba,35398,2018-08-29T17:15:57Z,2024-09-21 22:01:17.105717+00:00,191393120.105717,55,https://github.com/alibaba/arthas
hello-algorithm,geekxh,35178,2020-05-29T05:47:09Z,2024-09-21 22:01:17.105717+00:00,136224848.105717,0,https://github.com/geekxh/hello-algorithm
lottie-android,airbnb,34969,2016-10-06T22:42:42Z,2024-09-21 22:01:17.105717+00:00,251162315.105717,52,https://github.com/airbnb/lottie-android
